_id,_timestamp,brand,brands,categories,colors,conformityCertificateFile,description,dimension.height,dimension.length,dimension.unit,dimension.width,image,keyDetails.keyDetail1,keyDetails.keyDetail2,keyDetails.keyDetail3,keyFeatures,merchantid,name,otherImages,price,productDataSheet,productType,shop._id,shop.businessInfo,shop.commission,shop.isActive,shop.paymentDetails,shop.personalInfo,shop.shopType,shop.vendor,shop.vendorfeduid,shop.vendorid,shopId,sku,status,warrantyFileSource,warrantyInformation,weight.unit,weight.weight
63347604775325713c2440c1,1664868736541,"[{""_id"":""huawei""},{""_id"":""schneider""}]",,"[{""_id"":""63063a84f469b10174ba382e"",""priority"":1,""categories"":""Agri- business""},{""_id"":""63063aa6f469b10174ba382f"",""priority"":2,""categories"":""Home owners""},{""_id"":""63063abaf469b10174ba3830"",""priority"":3,""categories"":""E- mobility""},{""_id"":""63063c8b74c32b5290b0e0cf"",""priority"":4,""categories"":""Business (Commercial/Industrial)""},{""_id"":""632afc645539f227a098938f"",""priority"":5,""categories"":""New Arriavals""},{""_id"":""632afc7c5539f227a0989390"",""priority"":6,""categories"":""Top Sellers""},{""_id"":""632afc8e5539f227a0989391"",""priority"":7,""categories"":""Top Deal-50% OFF""}]","[""blue"",""yellow"",""white""]",,"SolarMaxhas designed a compact and stylish modified sine wave inverter that operatessilently This inverter is ideal for electricalequipment with a consumptionlower than 300W with a voltage of220Vsuch as cellphones, TVs, DVDs,laptops, electric lights, digital cameras, electric fans, electrictools and so on. This inverter packs a PWM CMOS allowing for a smaller and quiet system The inverter comes with spare fuses. justin case the digital protection measures do not kick in on time. with a one year warranty, you can be assured of a quality product.",,,,,https://yellowdotstorage.blob.core.windows.net/user/products/1664381809390/product-image.jpg,Model Number: VE3024M,Input Voltage: 24V/48V,Output Voltage: 220VAC,"Model Number:
VE3024M
Input Voltage:
24V/48V
Output Voltage:
220VAC
Output Current:
60A
Output Frequency:
50/60HZ
Output Type:
Single
Size:
512*320*136 MM
Type:
DC/AC Inverters
Inverter Efficiency:
>98%
Certificate:
ISO9001, ISO14001
Warranty:
1YEAR, 1 Year
Weight:
19KG
Display:
LCD Display
Feature:
Energy Saving solar inverter and Hybrid Inverter
Application:
Solar Power System Home
Color:
Yellow, Red, White, Green
Protection:
Short Circuit Protection Overload
MPPT Efficiency:
98-100%
OEM:
Accept OEM and ODM
Charging Current:
60A
Waveform:
Pure sine Wave",63075bb04bf1fd3144190a63,Solar Max Solar Panel 250w + 300 Watt Powerful,"[""https://yellowdotstorage.blob.core.windows.net/user/products/1664382390197/product-image.jpg"",""https://yellowdotstorage.blob.core.windows.net/user/products/1664382415986/product-image.jpg"",""https://yellowdotstorage.blob.core.windows.net/user/products/1664382408012/product-image.jpg""]",1,,,63075be04bf1fd3144190a64,,,,,,VENDOR_SHOP,,QfFu39Q5IKSdVOc7N07HUKasTBi1,63075bb04bf1fd3144190a63,63075be04bf1fd3144190a64,123456789,true,,,,
6336b1932bcd6e29efbaa9e1,1664868711260,"[{""_id"":""123457""},{""_id"":""123456""},{""_id"":""huawei""},{""_id"":""schneider""}]",,"[{""_id"":""63063a84f469b10174ba382e"",""priority"":1,""categories"":""Agri- business""},{""_id"":""63063aa6f469b10174ba382f"",""priority"":2,""categories"":""Home owners""},{""_id"":""63063abaf469b10174ba3830"",""priority"":3,""categories"":""E- mobility""},{""_id"":""63063c8b74c32b5290b0e0cf"",""priority"":4,""categories"":""Business (Commercial/Industrial)""},{""_id"":""632afc645539f227a098938f"",""priority"":5,""categories"":""New Arriavals""},{""_id"":""632afc7c5539f227a0989390"",""priority"":6,""categories"":""Top Sellers""},{""_id"":""632afc8e5539f227a0989391"",""priority"":7,""categories"":""Top Deal-50% OFF""}]","[""white"",""blue"",""yellow""]",,"Solar fullkit is a kit where by it consist of five item ;solar panel ,a battery, a digital controller, a powerful power inverter and solar bulbs.
The solar panel is made of mono-crystalline cells which are all weathered hence the solar just require only  light to charge the battery. 
The battery is a dry cell battery so there no cost to maintain it after purchase{free maintenance}Its also a deep cycle gel battery meaning that it can be recharged and discharged regularly without affecting the life cycle of the battery.
The kit has a digital controller to control the flow of the current from the solar to the battery to avoid the battery from  being overcharged by the solar panel  .
The inverter has a very high peaking  power which  is able to run variety of electronics at the same time. 
This kit can able to light the all house including security lights, televisions and also radios .It can also be used to charge mobiles mobile phones. This offer you can only get it  at Jumia Kenya online shop you ask we deliver original items ,Thank you for shopping with us.",,,,,https://yellowdotstorage.blob.core.windows.net/user/products/1664528644195/product-image.jpg,300w DC to AC power inverter,10Amp Solar Charge  Digital Controller,100 Watts Solar Panel,"100 Watts Solar Panel
80Ah Maintenance Free Battery
10Amp Solar Charge  Digital Controller
300w DC to AC power inverter
4 Bulbs Energy SAVING BULBS",63075bb04bf1fd3144190a63,Solarmax 100 WATTS SOLAR FULLKIT,"[""https://yellowdotstorage.blob.core.windows.net/user/products/1664528656535/product-image.jpg"",""https://yellowdotstorage.blob.core.windows.net/user/products/1664528663617/product-image.jpg"",""https://yellowdotstorage.blob.core.windows.net/user/products/1664528669583/product-image.jpg""]",1,,,63075be04bf1fd3144190a64,,,,,,VENDOR_SHOP,,QfFu39Q5IKSdVOc7N07HUKasTBi1,63075bb04bf1fd3144190a63,63075be04bf1fd3144190a64,SKU238491,true,,,,
633c2b7cde5d691d7d8ec0f9,1673959345013,,"[{""_id"":""63623b2cd7c8dd6904cf7ef4"",""productType"":{""_id"":""63623ad5d7c8dd6904cf7ef3"",""productType"":""SOLAR PUMP""},""brand"":""CHIMP""}]","[{""_id"":""63063a84f469b10174ba382e"",""priority"":1,""categories"":""Agri- business""},{""_id"":""63063aa6f469b10174ba382f"",""priority"":2,""categories"":""Home owners""},{""_id"":""63063abaf469b10174ba3830"",""priority"":3,""categories"":""E- mobility""}]","[""yellow"",""blue"",""white""]",,"A submersible water pump with  24V , Head of 50Meters
This submersible water pump is Solar Powered.
 Direct Current and a fitting of  1"" 
This submersible pump 
It's unique water tight power connector stops water leaking & prevents potential condensation problems. 
It is Great for livestock watering, irrigation, pond aeration, remote homes & cabins.
The submersible is strongly build yet light weight (2.95kgs).Corrosion-proof housing with stainless steel-fasteners.
The submersible has dry running capabilities without pump damage. 
One of greatest features of this submersible is the Internal Bypass feature for pump protection Long-life.
It is also can be easily repaired in the field. ",0,0,,0,https://yellowdotstorage.blob.core.windows.net/user/products/1664887648593/product-image.jpg,A submersible water pump with  24V ,Head of 50Meters," Direct Current and a fitting of  1"" ","A submersible water pump with  24V , Head of 50Meters
This submersible water pump is Solar Powered.
 Direct Current and a fitting of  1"" 
This submersible pump 
It's unique water tight power connector stops water leaking & prevents potential condensation problems. 
It is Great for livestock watering, irrigation, pond aeration, remote homes & cabins.
The submersible is strongly build yet light weight (2.95kgs).Corrosion-proof housing with stainless steel-fasteners.
The submersible has dry running capabilities without pump damage. 
One of greatest features of this submersible is the Internal Bypass feature for pump protection Long-life.
It is also can be easily repaired in the field. ",62ff517835e2296e14851ec1,RUTANPUMP Solar Powered Submersible Water Pump 24V 50 Meters Lift Height,"[""https://yellowdotstorage.blob.core.windows.net/user/products/1664887654524/product-image.jpg"",""https://yellowdotstorage.blob.core.windows.net/user/products/1664887659540/product-image.jpg"",""https://yellowdotstorage.blob.core.windows.net/user/products/1664887666408/product-image.jpg""]",5,,63623ad5d7c8dd6904cf7ef3,63074ef15a3b29740fa41f5c,,3,,,,VENDOR_SHOP,,MUeqo6qAf6ZcDj3chb1Va9NnRrM2,62ff517835e2296e14851ec1,63074ef15a3b29740fa41f5c,SKU,true,,2yrs,,
633c2d30de5d691d7d8ec0fb,1667564515937,,"[{""_id"":""635a2950f53b927926bfa091"",""productType"":{""_id"":""635a28c1f53b927926bfa08b"",""productType"":""SOLAR PANEL""},""brand"":""AE SOLAR""}]","[{""_id"":""63063a84f469b10174ba382e"",""priority"":1,""categories"":""Agri- business""},{""_id"":""63063aa6f469b10174ba382f"",""priority"":2,""categories"":""Home owners""}]","[""yellow"",""blue"",""white""]",,"1.High conversion efficiency, good output efficiency, low light efficiency, light weight, easy to carry and strong applicability.
2.Scratch resistant, non foaming, easy to clean.It is semi flexible and can be bent properly to use a wider range of applications.
3.Light weight, easy to carry. High conversion rate and high yield. High stability and good durability.It has a single crystal chip, which can be used in automobiles, families, ships, motorcycles, etc.

Conversion rate: 23-24%
Voltage: 5V
Maximum power supply voltage: 6V
Short circuit current: 2A
Junction box: IP67 RETED
Working temperature: -40℃+85℃
colour: black
Material: Monocrystalline silicon
Size: 280x280x2mm

Package Contents:
1 x Solar panel
1 x 40A controller
1 x 1 drag 10 charging cable
1 pair x alligator clips
1 x Car charger
4 x suction cup

Only the above package content, other products are not included.
Note: Light shooting and different displays may cause the color of the item in the picture a little different from the real thing. The measurement allowed error is +/- 1-3cm.
About Us
We provide the good product with the best price,we support Wholesale/Drop Shipping Order
1. For Drop Shipping order, please remark""dropshipping order"", we will prioritize it.
2. For Wholesale/Drop Shipping orders, if you have any ideas about the price or package,please contact us in advance,we will give you the best service to satisfy your demands.
About Shipments
1.We will send out the orders ASAP once your payment is completed normally.
2.Please write your complete delivery address with correct phone number and zip code, especially please confirm your full name.
About After-sale Service
We are reliable seller and we have our professional after-sale service for all of our customs. If there is any question about the order,please contact us in advance ,we will always here until you get a happy answer.
About Feedback
1. Please check the package and item when you get carefully to make sure there is no problem.
2. If you have any problem or are not entirely satisfied with your package,please don’t be hesitate to contact us first before leaving negative feedback. We will resolve the problem to satisfy you.
30621. If there is no problem, please leave us five star positive feedback.
Your affirmation is our greatest motivation ! ! !",,,,,https://yellowdotstorage.blob.core.windows.net/user/products/1664888052337/product-image.jpg,Solar Panel with Controller,200W Solar Panel Kit,Caravan Solar Panel,"Solar Panel
Charge Controller
200W Solar Panel Kit
Solar Panel with Controller
Caravan Solar Panel",62ff517835e2296e14851ec1,Generic 200W Solar Panel Kit Solar Panel High Efficience,"[""https://yellowdotstorage.blob.core.windows.net/user/products/1664888060716/product-image.jpg"",""https://yellowdotstorage.blob.core.windows.net/user/products/1664888066016/product-image.jpg"",""https://yellowdotstorage.blob.core.windows.net/user/products/1664888071691/product-image.jpg""]",1,,635a28c1f53b927926bfa08b,63074ef15a3b29740fa41f5c,,20,,,,VENDOR_SHOP,,MUeqo6qAf6ZcDj3chb1Va9NnRrM2,62ff517835e2296e14851ec1,63074ef15a3b29740fa41f5c,SKU12345,true,,2yrs,,
633c2e5fde5d691d7d8ec0fc,1671566906787,,"[{""_id"":""635a2950f53b927926bfa091"",""productType"":{""_id"":""635a28c1f53b927926bfa08b"",""productType"":""SOLAR PANEL""},""brand"":""AE SOLAR""}]","[{""_id"":""63063a84f469b10174ba382e"",""priority"":1,""categories"":""Agri- business""},{""_id"":""63063aa6f469b10174ba382f"",""priority"":2,""categories"":""Home owners""},{""_id"":""63063abaf469b10174ba3830"",""priority"":3,""categories"":""E- mobility""},{""_id"":""63063c8b74c32b5290b0e0cf"",""priority"":4,""categories"":""SMEs""}]","[""white""]",,"Leading IP67 Waterproof TechnologyMade of high-impact Die-cast Aluminium and having been enormous technological break throughs in waterproof grade, Cassa solar lights outdoor has unique IP66 waterproof design and can withstand all kinds of terrible weather. Much more durable than other less waterproof grade solar lights outdoor.Upgrade Detactable Design:6.5h fully charged for battery lighting up tfrom 10h-20h,quickly and absolutely absorb solar energy. Cassa solar panel and light are connected by a 5meter cable. Adopt 180 adjustable solar panel and light holder,No limits for the installation place, just need to make sure the solar panel can absorb the direct sunlight.High-efficient Solar Panel: This light works automatically without electricity as the solar panel absorbs the sun rays and generates power for the light. Our hikeren solar panel of polycrystalline silicon converts up to 20% of the sunlight into electricity energy which ensure long lasting standby time. Cool White LED Ultra-Bright Solar Powered LightsThere are powerful Cool White LEDs and the motion angle is 180 degrees which can provide excellent illumination and turn the dark space into a bright lighted space.1 Year Warranty Quality Ensured-1 year warranty ensures this will quickly become your favorite no-risk purchase.Multiple ControlUpgrade remote control is more compact than other productsneed to point it to the light IR receiverrange26-42ft at night or on cloudy day. 3/5hours timing modeauto modelights up at dusk and turns off at dawn automatically.Easy Installation 2 ways of installation, one is hanging, one is fixed with screws, 4pcs screws included in the package.What's more, there is extension 5 meters cable to connect the solar panel to flood light.",100,100,,100,https://yellowdotstorage.blob.core.windows.net/user/products/1664888261368/product-image.jpg,6.5h fully charged for battery lighting up from 10h-20h,No limits for the installation place,High-efficient Solar Panel,"6.5h fully charged for battery lighting up tfrom 10h-20h,quickly and absolutely absorb solar energy. Cassa solar panel and light are connected by a 5meter cable. Adopt 180 adjustable solar panel and light holder,No limits for the installation place, just need to make sure the solar panel can absorb the direct sunlight.High-efficient Solar Panel: This light works automatically without electricity as the solar panel absorbs the sun rays and generates power for the light. Our hikeren solar panel of polycrystalline silicon converts up to 20% of the sunlight into electricity energy which ensure long lasting standby time. Cool White LED Ultra-Bright Solar Powered LightsThere are powerful Cool White LEDs and the motion angle is 180 degrees which can provide excellent illumination and turn the dark space into a bright lighted space.1 Year Warranty Quality Ensured-1 year warranty ensures this will quickly become your favorite no-risk purchase.Multiple ControlUpgrade remote control is more compact than other productsneed to point it to the light IR receiverrange26-42ft at night or on cloudy day. 3/5hours timing modeauto modelights up at dusk and turns off at dawn automatically.Easy Installation 2 ways of installation, one is hanging, one is fixed with screws, 4pcs screws included in the package.What's more, there is extension 5 meters cable to connect the solar panel to flood light.",62ff517835e2296e14851ec1,"Solar Light 25W ,40W ,60W Outdoor Solar LED Floodlight","[""https://yellowdotstorage.blob.core.windows.net/user/products/1664888270347/product-image.jpg"",""https://yellowdotstorage.blob.core.windows.net/user/products/1664888275646/product-image.jpg"",""https://yellowdotstorage.blob.core.windows.net/user/products/1664888281367/product-image.jpg""]",1,,635a28c1f53b927926bfa08b,63074ef15a3b29740fa41f5c,,3,,,,VENDOR_SHOP,,MUeqo6qAf6ZcDj3chb1Va9NnRrM2,62ff517835e2296e14851ec1,63074ef15a3b29740fa41f5c,SO566GP0B5B5FNAFAMZ,true,,2yrs,,
633c302ade5d691d7d8ec0fe,1669300870550,,"[{""_id"":""635a2951f53b927926bfa0a3"",""productType"":{""_id"":""635a28c1f53b927926bfa08b"",""productType"":""SOLAR PANEL""},""brand"":""GOLDI SOLAR""}]","[{""_id"":""63063a84f469b10174ba382e"",""priority"":1,""categories"":""Agri- business""},{""_id"":""63063aa6f469b10174ba382f"",""priority"":2,""categories"":""Home owners""},{""_id"":""63063abaf469b10174ba3830"",""priority"":3,""categories"":""E- mobility""}]","[""yellow"",""blue"",""white""]",,"Solar kit is a kit where by is comply of six items include solar panel, charger controller ,solar battery and powerful power inverter.  
This kit can able to light the all house including security lights, televisions and also radios .It can also used to charge mobiles phones. And also it is also a all weather panel. Solar battery is a dry cell .Controller is a digital controller of which it is very accurate 
This offer you can only get at Jumia Kenya online shop you ask we deliver original items",,,,,https://yellowdotstorage.blob.core.windows.net/user/products/1664888798422/product-image.jpg,400w solar panel ,200ah battery ,1000w inverter ,"400w solar panel 
200ah battery 
1000w inverter 
30amps controller 
40""vitron 
wall bracket
",62ff517835e2296e14851ec1,Solarmax 400W Solar Panel Fullkit,"[""https://yellowdotstorage.blob.core.windows.net/user/products/1664888822187/product-image.jpg"",""https://yellowdotstorage.blob.core.windows.net/user/products/1664888810812/product-image.jpg"",""https://yellowdotstorage.blob.core.windows.net/user/products/1664888816885/product-image.jpg""]",1,,635a28c1f53b927926bfa08b,63074ef15a3b29740fa41f5c,,3,,,,VENDOR_SHOP,,MUeqo6qAf6ZcDj3chb1Va9NnRrM2,62ff517835e2296e14851ec1,63074ef15a3b29740fa41f5c,SO830LB1GAD3INAFAMZ,true,,3yrs,,
633d3a78de5d691d7d8ec112,1664957048251,"[{""_id"":""jinko""}]",,"[{""_id"":""63063aa6f469b10174ba382f"",""priority"":2,""categories"":""Home owners""},{""_id"":""632afc7c5539f227a0989390"",""priority"":6,""categories"":""Top Sellers""}]","[""blue""]",https://yellowdotstorage.blob.core.windows.net/user/conformity-docs/1664957012292/certificate-conformity.pdf,JINKO SOLAR  300W Solar Panel 25 YEARS WARRANTY,,,,,https://yellowdotstorage.blob.core.windows.net/user/products/1664956048143/product-image.jpg,300W,,,"JS: SO830GP02QBNONAFAMZ
Model: 300W
Size (L x W x H cm): 1
Weight (kg): 25
Main Material: Solar",633d2b7bde5d691d7d8ec108,JINKO SOLAR,"[""https://yellowdotstorage.blob.core.windows.net/user/products/1664956096913/product-image.jpg"",""https://yellowdotstorage.blob.core.windows.net/user/products/1664956155655/product-image.jpg"",""https://yellowdotstorage.blob.core.windows.net/user/products/1664956526109/product-image.jpg""]",3000,,,633d2bcede5d691d7d8ec109,,,true,,,VENDOR_SHOP,,4ywe77HRx4aatg4B8sckzldhcG22,633d2b7bde5d691d7d8ec108,633d2bcede5d691d7d8ec109,SKU: SO830GP02QBNONA,true,https://yellowdotstorage.blob.core.windows.net/user/warranties/1664957001028/warranty.pdf,,,
633d7da7de5d691d7d8ec12a,1664974247681,"[{""_id"":""huawei""},{""_id"":""jinko""}]",,"[{""_id"":""63063a84f469b10174ba382e"",""priority"":1,""categories"":""Agri- business""},{""_id"":""632afc7c5539f227a0989390"",""priority"":6,""categories"":""Top Sellers""},{""_id"":""632afc8e5539f227a0989391"",""priority"":7,""categories"":""Top Deal-50% OFF""}]","[""white"",""blue"",""yellow""]",,"Please upload clear, accurate and complete pictures
Minimum resolution: 500 x 500 - Maximum: 2000 x 2000
It is advisable to have 3 different images in different angles to showcase product features",,,,,https://yellowdotstorage.blob.core.windows.net/user/products/1664974141297/product-image.jpg,Key Detail 1,Key Detail 1,Key Detail 1,"Please upload clear, accurate and complete pictures
Minimum resolution: 500 x 500 - Maximum: 2000 x 2000
It is advisable to have 3 different images in different angles to showcase product features",63075bb04bf1fd3144190a63,Product name,"[""https://yellowdotstorage.blob.core.windows.net/user/products/1664974211838/product-image.jpg"",""https://yellowdotstorage.blob.core.windows.net/user/products/1664974220852/product-image.jpg"",""https://yellowdotstorage.blob.core.windows.net/user/products/1664974226532/product-image.jpg""]",25,,,63075be04bf1fd3144190a64,,,,,,VENDOR_SHOP,,QfFu39Q5IKSdVOc7N07HUKasTBi1,63075bb04bf1fd3144190a63,63075be04bf1fd3144190a64,JWIDJEWOIDJEOIWD,true,,2yrs,,
634a40f1e09fa30d8699543e,1665810673139,Jinko,,"[{""_id"":""63063a84f469b10174ba382e"",""priority"":1,""categories"":""Agri- business""}]","[""#ffffff"",""#cbc8c8"",""#b0b0b0"",""#5cb0f0""]",https://yellowdotstorage.blob.core.windows.net/user/conformity-docs/1665810663951/certificate-conformity.pdf,"Solar fullkit is a kit where by it consist of four item ;solarmax panel ,a battery, a digital controller, a high powerful power inverter and solar bulbs.
The solar panel is made of mono-crystalline cells which are all weathered hence the solar just require only  light to charge the battery. 
The battery is a dry cell battery so there no cost to maintain it after purchase{free maintenance}Its also a deep cycle gel battery meaning that it can be recharged and discharged regularly without affecting the life cycle of the battery.
The kit has a digital controller to control the flow of the current from the solar to the battery to avoid the battery from  being overcharged by the solar panel  .
The inverter has a very high peaking  power which  is able to run variety of electronics at the same time. 
This kit can able to light the all house including security lights, televisions and also radios .It can also be used to charge mobiles mobile phones. This offer you can only get it  at Jumia Kenya online shop you ask we deliver original items ,Thank you for shopping with us.",,,,,https://yellowdotstorage.blob.core.windows.net/user/products/1665810392226/product-image.jpg,250watts solar,300 watt powerful inverter,20A digital controller,"250watts solar
300 watt powerful inverter
20A digital controller
150AH dry battery
3 LED bulbs",634a327be09fa30d86995439,Solar Panel 250w + 300 Watt Powerful Inverter + 20A Digital Controller +150AH Dry Battery + 3 LED Bulbs (ENERGY SAVER),"[""https://yellowdotstorage.blob.core.windows.net/user/products/1665810401529/product-image.jpg"",""https://yellowdotstorage.blob.core.windows.net/user/products/1665810409552/product-image.jpg"",""https://yellowdotstorage.blob.core.windows.net/user/products/1665810418066/product-image.jpg""]",10000,,,634a329ce09fa30d8699543a,,3,true,,,VENDOR_SHOP,,Yqe3T1JN5aTR7HaJaVAttE4SqHR2,634a327be09fa30d86995439,634a329ce09fa30d8699543a,qwerty,true,,2yrs,,
634c7f66e09fa30d86995450,1665957734194,634c5ae843972952e48b5b3e,,"[{""_id"":""63063a84f469b10174ba382e"",""priority"":1,""categories"":""Agri- business""},{""_id"":""63063aa6f469b10174ba382f"",""priority"":2,""categories"":""Home owners""}]","[""#5ef459""]",,"lease upload clear, accurate and complete pictures
Minimum resolution: 500 x 500 - Maximum: 2000 x 2000
It is advisable to have 3 different images in different angles to showcase product features",,,,,https://yellowdotstorage.blob.core.windows.net/user/products/1665957567195/product-image.jpg,Key Detail 1,Key Detail 2,Key Detail 3,"lease upload clear, accurate and complete pictures
Minimum resolution: 500 x 500 - Maximum: 2000 x 2000
It is advisable to have 3 different images in different angles to showcase product features",63075bb04bf1fd3144190a63,Product,"[""https://yellowdotstorage.blob.core.windows.net/user/products/1665957602625/product-image.jpg"",""https://yellowdotstorage.blob.core.windows.net/user/products/1665957587192/product-image.png"",""https://yellowdotstorage.blob.core.windows.net/user/products/1665957649474/product-image.png""]",1,,,63075be04bf1fd3144190a64,,,,,,VENDOR_SHOP,,QfFu39Q5IKSdVOc7N07HUKasTBi1,63075bb04bf1fd3144190a63,63075be04bf1fd3144190a64,QWERTY,true,,2YRS,,
